Brand,Title,Price,Product Link
"HP 15,","HP 15, 13th Gen Intel Core i5-1334U Laptop (16GB DDR4,512GB SSD) Anti-Glare, Micro-edge,15.6''/39.6cm, FHD, Win11,M365,Office24, Silver,1.59kg, Iris Xe Graphics, FHD Camera w/privacy shutter, fd0577TU","₹55,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjEzMTA1ODQ0MzM2MjY6MTc1MzYxODMxNTpzcF9hdGY6MzAwNTU5NTc3ODQ5NTMyOjowOjo&url=%2FHP-i5-1334U-Anti-Glare-Micro-edge-fd0577TU%2Fdp%2FB0F4R6H3NB%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.iPCWIroxYjKxBxP18B97hLOdXO0DXuIaQPzaAAGePNzztc0pSZikNr2JynYOKNrJ47VGh_G7xHH7C7UxJdgHil1q6k8_-IxT-5rx6alzYB503MEE3SEiKRtH-ahkocb-kcwc8aXp5jfS9hySTRqOz7y26gYEjPmjrH0c97A5WEUvOFnIHfwablh14WObAdiZRUuN822vCvaHuER0NAs_WWjfw_RjDA-TbZrtIZISnEs.6C4lwH7dQMKXVbx1hSo0xFy5lQQWcawQOTr3DHKaI_4%26dib_tag%3Dse%26keywords%3Dlaptop%2Bunder%2B50k%26qid%3D1753618315%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&sp_cr=ZAZ
Lenovo Thinkbook,"Lenovo Thinkbook 16 G6 AMD Ryzen 5 16"" Wuxga IPS Antiglare 300 NITS Thin and Light Laptop (16GB RAM/512GB SSD/Windows 11 Home/Fingerprint/Office 2021/Arctic Grey/1 Year Onsite/1.7 Kg), 21KKA07RIN","₹47,390",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjEzMTA1ODQ0MzM2MjY6MTc1MzYxODMxNTpzcF9hdGY6MzAwNjExODQ2NDM0NTMyOjowOjo&url=%2FLenovo-Thinkbook-16-G6-21Kka07Rin%2Fdp%2FB0CZ7DNGZH%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.iPCWIroxYjKxBxP18B97hLOdXO0DXuIaQPzaAAGePNzztc0pSZikNr2JynYOKNrJ47VGh_G7xHH7C7UxJdgHil1q6k8_-IxT-5rx6alzYB503MEE3SEiKRtH-ahkocb-kcwc8aXp5jfS9hySTRqOz7y26gYEjPmjrH0c97A5WEUvOFnIHfwablh14WObAdiZRUuN822vCvaHuER0NAs_WWjfw_RjDA-TbZrtIZISnEs.6C4lwH7dQMKXVbx1hSo0xFy5lQQWcawQOTr3DHKaI_4%26dib_tag%3Dse%26keywords%3Dlaptop%2Bunder%2B50k%26qid%3D1753618315%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&sp_cr=ZAZ
Lenovo ThinkBook,"Lenovo ThinkBook 16 AMD Ryzen 5 7535HS (16GB RAM/512GB SSD/Win 11 Home/Office 2024/Backlit Keyboard/Fingerprint) 16"" WUXGA IPS 300 Nits Thin & Light Laptop/1Y Warranty/Aluminium Top/1.7kg, 21MWA0BSIN","₹49,990",https://www.amazon.in/Lenovo-ThinkBook-Fingerprint-Aluminium-21MWA0BSIN/dp/B0DZJ262NX/ref=sr_1_3?dib=eyJ2IjoiMSJ9.iPCWIroxYjKxBxP18B97hLOdXO0DXuIaQPzaAAGePNzztc0pSZikNr2JynYOKNrJ47VGh_G7xHH7C7UxJdgHil1q6k8_-IxT-5rx6alzYB503MEE3SEiKRtH-ahkocb-kcwc8aXp5jfS9hySTRqOz7y26gYEjPmjrH0c97A5WEUvOFnIHfwablh14WObAdiZRUuN822vCvaHuER0NAs_WWjfw_RjDA-TbZrtIZISnEs.6C4lwH7dQMKXVbx1hSo0xFy5lQQWcawQOTr3DHKaI_4&dib_tag=se&keywords=laptop+under+50k&qid=1753618315&sr=8-3
Lenovo Ideapad,"Lenovo Ideapad 1 AMD Ryzen 5 5625U (16GB RAM/512GB SSD/Windows 11/Office Home 2024/15.6 Inch (39.6Cm)/FHD IPS Display/3Months Game Pass/Grey/1.6Kg), 82R4011CIN/0DIN Laptop","₹37,990",https://www.amazon.in/Lenovo-Ideapad-Windows-Display-82R4011CIN/dp/B0DT3SBQM7/ref=sr_1_4?dib=eyJ2IjoiMSJ9.iPCWIroxYjKxBxP18B97hLOdXO0DXuIaQPzaAAGePNzztc0pSZikNr2JynYOKNrJ47VGh_G7xHH7C7UxJdgHil1q6k8_-IxT-5rx6alzYB503MEE3SEiKRtH-ahkocb-kcwc8aXp5jfS9hySTRqOz7y26gYEjPmjrH0c97A5WEUvOFnIHfwablh14WObAdiZRUuN822vCvaHuER0NAs_WWjfw_RjDA-TbZrtIZISnEs.6C4lwH7dQMKXVbx1hSo0xFy5lQQWcawQOTr3DHKaI_4&dib_tag=se&keywords=laptop+under+50k&qid=1753618315&sr=8-4
Lenovo V14,"Lenovo V14 G3, 12th Gen Intel Core i7-1255U Upto 4.70Ghz (16GB RAM/512GB SSD/Windows 11) 14.0"" FHD Display Thin and Light Laptop/Iron Grey /1.70 kg 1 Year Onsite Brand Warranty","₹51,200",https://www.amazon.in/Lenovo-i7-1255U-4-70Ghz-Windows-Warranty/dp/B0F32ZBDNJ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.iPCWIroxYjKxBxP18B97hLOdXO0DXuIaQPzaAAGePNzztc0pSZikNr2JynYOKNrJ47VGh_G7xHH7C7UxJdgHil1q6k8_-IxT-5rx6alzYB503MEE3SEiKRtH-ahkocb-kcwc8aXp5jfS9hySTRqOz7y26gYEjPmjrH0c97A5WEUvOFnIHfwablh14WObAdiZRUuN822vCvaHuER0NAs_WWjfw_RjDA-TbZrtIZISnEs.6C4lwH7dQMKXVbx1hSo0xFy5lQQWcawQOTr3DHKaI_4&dib_tag=se&keywords=laptop+under+50k&qid=1753618315&sr=8-5
"HP 15,","HP 15, AMD Ryzen 7 5825U (16GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge,15.6''/39.6cm, Win11, M365(1yr)* Office24, Silver, 1.59kg, fc0476AU, Radeon Graphics, FHD Camera w/Shutter, Backlit Laptop","₹48,490",https://www.amazon.in/HP-Anti-Glare-Micro-Edge-Office24-fc0476AU/dp/B0F66X762F/ref=sr_1_6?dib=eyJ2IjoiMSJ9.iPCWIroxYjKxBxP18B97hLOdXO0DXuIaQPzaAAGePNzztc0pSZikNr2JynYOKNrJ47VGh_G7xHH7C7UxJdgHil1q6k8_-IxT-5rx6alzYB503MEE3SEiKRtH-ahkocb-kcwc8aXp5jfS9hySTRqOz7y26gYEjPmjrH0c97A5WEUvOFnIHfwablh14WObAdiZRUuN822vCvaHuER0NAs_WWjfw_RjDA-TbZrtIZISnEs.6C4lwH7dQMKXVbx1hSo0xFy5lQQWcawQOTr3DHKaI_4&dib_tag=se&keywords=laptop+under+50k&qid=1753618315&sr=8-6
HP Victus,"HP Victus Gaming Laptop, AMD Ryzen 5 5600H, AMD 4GB Radeon RX 6500M Graphics, 15.6-inch (39.6 cm), FHD, IPS, 8GB DDR4, 512GB SSD, Backlit KB, B&O (Win 11, Blue, 2.29 kg), fb0147AX, fb0184ax","₹47,990",https://www.amazon.in/HP-Graphics-15-6-inch-Backlit-fb0147AX/dp/B0C946F286/ref=sr_1_7?dib=eyJ2IjoiMSJ9.iPCWIroxYjKxBxP18B97hLOdXO0DXuIaQPzaAAGePNzztc0pSZikNr2JynYOKNrJ47VGh_G7xHH7C7UxJdgHil1q6k8_-IxT-5rx6alzYB503MEE3SEiKRtH-ahkocb-kcwc8aXp5jfS9hySTRqOz7y26gYEjPmjrH0c97A5WEUvOFnIHfwablh14WObAdiZRUuN822vCvaHuER0NAs_WWjfw_RjDA-TbZrtIZISnEs.6C4lwH7dQMKXVbx1hSo0xFy5lQQWcawQOTr3DHKaI_4&dib_tag=se&keywords=laptop+under+50k&qid=1753618315&sr=8-7
ASUS Vivobook,"ASUS Vivobook 16X 12th Gen, Intel Core i5-12500H Creator/Gaming Laptop(NVIDIA RTX 2050-4GB/16GB/512GB/FHD+/16.0""/144Hz/Windows 11/M365 Basic (1Year)*/Office Home 2024/Silver/1.67 kg) K3605ZF-RP458WS","₹56,990",https://www.amazon.in/ASUS-Vivobook-i5-12500H-2050-4GB-K3605ZF-RP458WS/dp/B0DS2DQD9L/ref=sr_1_8?dib=eyJ2IjoiMSJ9.iPCWIroxYjKxBxP18B97hLOdXO0DXuIaQPzaAAGePNzztc0pSZikNr2JynYOKNrJ47VGh_G7xHH7C7UxJdgHil1q6k8_-IxT-5rx6alzYB503MEE3SEiKRtH-ahkocb-kcwc8aXp5jfS9hySTRqOz7y26gYEjPmjrH0c97A5WEUvOFnIHfwablh14WObAdiZRUuN822vCvaHuER0NAs_WWjfw_RjDA-TbZrtIZISnEs.6C4lwH7dQMKXVbx1hSo0xFy5lQQWcawQOTr3DHKaI_4&dib_tag=se&keywords=laptop+under+50k&qid=1753618315&sr=8-8
"HP 15s,","HP 15s, 12th Gen Intel Core i5 16GB RAM/512GB SSD 15.6-inch(39.6 cm) Micro-Edge Anti-Glare FHD Laptop/Win 11/Intel Iris Xe Graphics/Dual Speakers/Alexa/Backlit KB/MSO/Fast Charge, 15s- fq5112TU","₹51,170",https://www.amazon.in/HP-Micro-Edge-Anti-Glare-15s-fq5112TU/dp/B0B6F6HN37/ref=sr_1_9?dib=eyJ2IjoiMSJ9.iPCWIroxYjKxBxP18B97hLOdXO0DXuIaQPzaAAGePNzztc0pSZikNr2JynYOKNrJ47VGh_G7xHH7C7UxJdgHil1q6k8_-IxT-5rx6alzYB503MEE3SEiKRtH-ahkocb-kcwc8aXp5jfS9hySTRqOz7y26gYEjPmjrH0c97A5WEUvOFnIHfwablh14WObAdiZRUuN822vCvaHuER0NAs_WWjfw_RjDA-TbZrtIZISnEs.6C4lwH7dQMKXVbx1hSo0xFy5lQQWcawQOTr3DHKaI_4&dib_tag=se&keywords=laptop+under+50k&qid=1753618315&sr=8-9
ASUS TUF,"ASUS TUF Gaming A15, 15.6"" (39.62cm) FHD 16:9 144Hz, AMD Ryzen 7 7435HS, Gaming Laptop (16 DDR5/512GB SSD/NVIDIA GeForce RTX 2050/Windows 11 Home/Graphite Black/2.30 Kg), FA506NFR-HN045W","₹56,990",https://www.amazon.in/ASUS-Gaming-15-6-39-62cm-FA506NFR-HN045W/dp/B0CDQ5CW9V/ref=sr_1_10?dib=eyJ2IjoiMSJ9.iPCWIroxYjKxBxP18B97hLOdXO0DXuIaQPzaAAGePNzztc0pSZikNr2JynYOKNrJ47VGh_G7xHH7C7UxJdgHil1q6k8_-IxT-5rx6alzYB503MEE3SEiKRtH-ahkocb-kcwc8aXp5jfS9hySTRqOz7y26gYEjPmjrH0c97A5WEUvOFnIHfwablh14WObAdiZRUuN822vCvaHuER0NAs_WWjfw_RjDA-TbZrtIZISnEs.6C4lwH7dQMKXVbx1hSo0xFy5lQQWcawQOTr3DHKaI_4&dib_tag=se&keywords=laptop+under+50k&qid=1753618315&sr=8-10
